mean 100 episode reward,episodes,steps,% time spent exploring
-39.0,2,48,99
-53.6,3,105,99
-37.2,4,116,98
-29.1,5,128,98
-24.9,6,175,98
-22.6,7,190,98
-24.9,8,240,97
-27.9,9,326,97
-30.7,10,386,96
-29.9,11,416,96
-32.2,12,492,95
-33.0,13,531,95
-30.7,14,558,94
-32.2,15,622,94
-33.8,16,677,93
-32.6,17,714,93
-31.0,18,726,93
-29.5,19,736,93
-28.2,20,745,93
-27.5,21,800,92
-26.9,22,823,92
-27.1,23,883,92
-26.3,24,912,91
-25.4,25,934,91
-24.7,26,980,91
-24.7,27,1021,90
-24.2,28,1033,90
-24.7,29,1079,90
-25.1,30,1128,89
-25.8,31,1228,88
-25.9,32,1260,88
-25.7,33,1291,88
-25.6,34,1347,87
-24.9,35,1372,87
-24.7,36,1420,87
-24.2,37,1446,86
-23.9,38,1488,86
-23.6,39,1517,86
-23.7,40,1548,86
-23.3,41,1571,85
-22.9,42,1589,85
-22.4,43,1610,85
-22.9,44,1659,85
-24.2,45,1731,84
-23.8,46,1741,84
-23.7,47,1767,84
-23.5,48,1790,83
-23.3,49,1810,83
-24.0,50,1884,83
-23.6,51,1902,82
-23.5,52,1934,82
-23.3,53,1968,82
-23.0,54,1982,82
-22.7,55,1993,82
-22.7,56,2019,81
-22.5,57,2042,81
-22.5,58,2066,81
-22.2,59,2082,81
-22.4,60,2133,80
-23.3,61,2196,80
-23.0,62,2207,80
-22.7,63,2219,80
-22.6,64,2260,79
-22.3,65,2274,79
-22.4,66,2316,79
-22.2,67,2329,79
-22.0,68,2357,78
-22.9,69,2430,78
-22.8,70,2480,77
-22.6,71,2496,77
-22.4,72,2509,77
-22.4,73,2553,77
-22.2,74,2580,76
-22.3,75,2627,76
-22.3,76,2653,76
-22.1,77,2665,76
-21.9,78,2699,75
-22.1,79,2762,75
-21.9,80,2784,74
-21.9,81,2820,74
