mean 100 episode reward,Success rate,% time spent exploring,Collision rate,episodes,steps
-7.8,0.0,99,1.0,2,22
-23.8,0.0,99,0.5,3,64
-18.4,0.0,99,0.3333333333333333,4,87
-19.2,0.0,98,0.25,5,120
-21.1,0.0,98,0.2,6,150
-18.9,0.0,98,0.3333333333333333,7,170
-20.1,0.0,97,0.42857142857142855,8,267
-18.1,0.0,97,0.5,9,279
-17.1,0.0,97,0.5555555555555556,10,314
-15.8,0.0,97,0.6,11,326
-15.8,0.0,96,0.5454545454545454,12,352
-19.4,0.0,96,0.5,13,418
-30.0,0.0,95,0.46153846153846156,14,513
-28.5,0.0,95,0.42857142857142855,15,552
-26.9,0.0,94,0.4666666666666667,16,566
-27.1,0.0,94,0.4375,17,618
-25.8,0.0,94,0.47058823529411764,18,642
-25.9,0.0,93,0.4444444444444444,19,684
-26.0,0.0,93,0.47368421052631576,20,733
-31.2,0.0,92,0.5,21,812
-31.6,0.0,92,0.5238095238095238,22,860
-31.0,0.0,92,0.5454545454545454,23,886
-30.7,0.0,91,0.5217391304347826,24,939
-29.6,0.0,91,0.5416666666666666,25,952
-28.7,0.0,91,0.52,26,964
-28.7,0.0,91,0.5,27,995
-28.6,0.0,90,0.48148148148148145,28,1029
-28.7,0.0,90,0.4642857142857143,29,1063
-27.9,0.0,90,0.4482758620689655,30,1091
-28.7,0.0,89,0.43333333333333335,31,1137
-28.1,0.0,89,0.45161290322580644,32,1164
-27.4,0.0,89,0.46875,33,1176
-26.7,0.0,89,0.48484848484848486,34,1192
-28.6,0.0,88,0.47058823529411764,35,1292
-28.1,0.0,88,0.45714285714285713,36,1327
-28.5,0.0,87,0.4722222222222222,37,1372
-27.9,0.0,87,0.4864864864864865,38,1385
-27.3,0.0,87,0.5,39,1398
-27.0,0.0,87,0.48717948717948717,40,1435
-26.5,0.0,86,0.5,41,1446
-26.0,0.0,86,0.5121951219512195,42,1467
-25.7,0.0,86,0.5,43,1504
-25.8,0.0,86,0.4883720930232558,44,1543
-25.7,0.0,85,0.4772727272727273,45,1585
-25.6,0.0,85,0.4888888888888889,46,1634
-25.3,0.0,84,0.4782608695652174,47,1693
-25.0,0.0,84,0.48936170212765956,48,1718
-24.6,0.0,84,0.5,49,1739
-24.4,0.0,84,0.5102040816326531,50,1771
-24.1,0.0,83,0.5,51,1798
-24.2,0.0,83,0.5098039215686274,52,1832
-25.2,0.0,82,0.5,53,1932
-26.1,0.0,81,0.49056603773584906,54,2011
-26.0,0.0,81,0.5,55,2072
-26.7,0.0,80,0.509090909090909,56,2142
-26.5,0.0,80,0.5,57,2161
-26.3,0.0,80,0.49122807017543857,58,2189
-26.4,0.0,79,0.4827586206896552,59,2226
-26.1,0.0,79,0.4915254237288136,60,2272
-26.4,0.0,79,0.5,61,2322
-26.1,0.0,78,0.4918032786885246,62,2344
-26.3,0.0,78,0.5,63,2386
-26.0,0.0,78,0.5079365079365079,64,2409
-26.2,0.0,77,0.515625,65,2450
-25.9,0.0,77,0.5230769230769231,66,2469
-26.0,0.0,77,0.5151515151515151,67,2504
-25.8,0.0,77,0.5074626865671642,68,2541
-26.1,0.0,76,0.5147058823529411,69,2587
-26.0,0.0,76,0.5072463768115942,70,2610
-25.8,0.0,76,0.5142857142857142,71,2652
-25.6,0.0,76,0.5211267605633803,72,2666
-25.7,0.0,75,0.5138888888888888,73,2714
-25.4,0.0,75,0.5205479452054794,74,2727
-25.6,0.0,74,0.5135135135135135,75,2787
-25.7,0.0,74,0.5066666666666667,76,2826
-25.8,0.0,74,0.5131578947368421,77,2860
-25.5,0.0,74,0.5194805194805194,78,2880
-25.3,0.0,73,0.5256410256410257,79,2891
-25.0,0.0,73,0.5316455696202531,80,2913
-25.1,0.0,73,0.525,81,2956
-25.0,0.0,73,0.5185185185185185,82,2978
-24.9,0.0,72,0.5121951219512195,83,3020
-24.7,0.0,72,0.5060240963855421,84,3040
-24.8,0.0,72,0.5,85,3075
-24.8,0.0,72,0.49411764705882355,86,3100
-24.6,0.0,71,0.4883720930232558,87,3118
-24.4,0.0,71,0.4827586206896552,88,3149
-24.4,0.0,71,0.4772727272727273,89,3176
-24.3,0.0,71,0.47191011235955055,90,3210
-24.4,0.0,70,0.4666666666666667,91,3273
-24.2,0.0,70,0.46153846153846156,92,3297
-24.4,0.0,69,0.45652173913043476,93,3336
-24.2,0.0,69,0.46236559139784944,94,3347
-24.1,0.0,69,0.4574468085106383,95,3404
-23.9,0.0,69,0.4631578947368421,96,3428
-23.7,0.0,69,0.46875,97,3441
-23.7,0.0,68,0.4742268041237113,98,3490
-23.5,0.0,68,0.46938775510204084,99,3519
-23.3,0.0,68,0.47474747474747475,100,3553
-24.3,0.0,67,0.47,101,3653
-24.6,0.0,66,0.46,102,3694
-24.8,0.0,66,0.46,103,3734
-24.7,0.0,66,0.47,104,3757
-24.7,0.0,65,0.47,105,3780
-24.5,0.0,65,0.47,106,3791
-24.6,0.0,65,0.46,107,3822
-24.4,0.0,65,0.46,108,3850
-25.1,0.0,64,0.46,109,3905
-25.2,0.0,64,0.45,110,3928
-25.4,0.0,64,0.45,111,3998
